Name1,Latitude1,Longitude1,Receiver.Range
SMN.Hamelin.40,-34.297615,114.684963,S
SMN.Hamelin.41,-34.298702,114.676374,S
SMN.Hamelin.42,-34.299788,114.667784,S
SMN.Hamelin.43,-34.300874,114.659195,S
SMN.Hamelin.44,-34.301959,114.650605,S
SMN.Hamelin.45,-34.303044,114.642015,S
SMN.Hamelin.46,-34.304128,114.633425,S
SMN.Hamelin.47,-34.305211,114.624835,S
SMN.Hamelin.48,-34.305976,114.618764,S
SMN.Recherche.02,-34.3521,123.551,S
SMN.Recherche.01,-34.3537,123.5453,S
SMN.Bald.Is.01a,-34.90118,118.431,S
SMN.Bald.Is.02a,-34.90291,118.4376,S
SMN.Bald.Is.01b,-34.94077,118.477794,S
SMN.Bald.Is.02b,-34.947715,118.480157,S
SMN.2.Peoples.Bay.03,-34.951483,118.17315,S
SMN.Bald.Is.03,-34.95466,118.482521,S
SMN.2.Peoples.Bay.01,-34.955117,118.17225,S
SMN.2.Peoples.Bay.02,-34.957333,118.172183,S
SMN.2.Peoples.Bay.04,-34.960333,118.172517,S
SMN.Bald.Is.04,-34.961605,118.484885,S
SMN.2.Peoples.Bay.06,-34.965933,118.189917,S
SMN.2.Peoples.Bay.05,-34.96815,118.17515,S
SMN.Bald.Is.05,-34.96855,118.48725,S
SMN.Bald.Is.06,-34.975494,118.489615,S
SMN.Bald.Is.07,-34.982439,118.491981,S
SMN.Bald.Is.08,-34.989383,118.494346,S
SMN.Bald.Is.09,-34.996328,118.496713,S
SMN.Bald.Is.10,-35.003272,118.499079,S
SMN.Bald.Is.11,-35.010216,118.501447,S
SMN.Bald.Is.12,-35.017161,118.503814,S
SMN.Chatham.0.1,-35.0184,116.499,S
SMN.Chatham.0.2,-35.023,116.4986,S
SMN.Bald.Is.13,-35.024105,118.506182,S
SMN.Bald.Is.14,-35.031049,118.508551,S
SMN.Bald.Is.15,-35.037993,118.510919,S
SMN.Chatham.01,-35.042482,116.496536,S
SMN.Bald.Is.16,-35.044937,118.513289,S
SMN.Chatham.02,-35.049613,116.495212,S
SMN.Bald.Is.17,-35.051881,118.515658,S
SMN.Chatham.03,-35.056744,116.493889,S
SMN.Bald.Is.18,-35.058825,118.518028,S
SMN.Chatham.04,-35.063876,116.492565,S
SMN.Bald.Is.19,-35.065769,118.520399,S
SMN.Chatham.05,-35.071007,116.491241,S
SMN.Bald.Is.20,-35.072712,118.52277,S
SMN.Chatham.06,-35.078138,116.489917,S
SMN.Bald.Is.21,-35.079656,118.525141,S
SMN.Chatham.07,-35.085269,116.488592,S
SMN.Bald.Is.22,-35.0866,118.527513,S
SMN.Chatham.08,-35.0924,116.487268,S
SMN.Bald.Is.23,-35.093543,118.529885,S
SMN.Chatham.09,-35.099531,116.485943,S
SMN.Bald.Is.24,-35.100487,118.532258,S
SMN.Chatham.10,-35.106662,116.484618,S
SMN.Bald.Is.25,-35.10743,118.534631,S
SMN.Chatham.11,-35.113793,116.483292,S
SMN.Bald.Is.26,-35.114374,118.537004,S
SMN.Chatham.12,-35.120923,116.481966,S
SMN.Bald.Is.27,-35.121317,118.539378,S
SMN.Chatham.13,-35.128054,116.480641,S
SMN.Bald.Is.28,-35.12826,118.541753,S
SMN.Chatham.14,-35.135185,116.479314,S
SMN.Bald.Is.29,-35.135203,118.544127,S
SMN.Bald.Is.30,-35.142146,118.546503,S
SMN.Chatham.15,-35.142316,116.477988,S
SMN.Bald.Is.31,-35.149089,118.548878,S
SMN.Chatham.16,-35.149447,116.476661,S
SMN.Chatham.17,-35.156578,116.475335,S
SMN.Chatham.18,-35.163708,116.474007,S
SMN.Chatham.19,-35.170839,116.47268,S
SMN.Chatham.20,-35.17797,116.471353,S
SMN.Chatham.21,-35.1851,116.470025,S
SMN.Chatham.22,-35.192231,116.468697,S
SMN.Chatham.23,-35.199362,116.467368,S
SMN.Chatham.24,-35.206492,116.46604,S
SMN.Chatham.25,-35.213623,116.464711,S
SMN.Chatham.26,-35.220754,116.463382,S
SMN.Chatham.27,-35.227884,116.462053,S
SMN.Chatham.28,-35.235015,116.460723,S
SMN.Chatham.29,-35.242145,116.459394,S
SMN.Chatham.30,-35.249275,116.458064,S
SMN.Chatham.31,-35.256406,116.456733,S
SMN.Chatham.32,-35.263536,116.455403,S
SMN.Chatham.33,-35.270667,116.454072,S
SMN.Chatham.34,-35.277797,116.452741,S
SMN.Chatham.35,-35.284927,116.45141,S
SMN.Chatham.36,-35.292058,116.450079,S
SMN.Chatham.37,-35.299188,116.448747,S
SMN.Chatham.38,-35.306318,116.447415,S
SMN.Chatham.39,-35.313448,116.446083,S
SMN.Chatham.40,-35.320579,116.44475,S
SMN.Chatham.41,-35.327709,116.443418,S
SMN.Chatham.42,-35.33447,116.442991,S
